lemma	ipm	r	d	doc	dicts
искоренять	1.0	59	89	79	0
искривить	2.8	78	89	184	0
искривиться	0.5	33	82	42	0
искривлять	0.4	25	77	28	0
искрить	0.7	35	82	48	0
искриться	4.6	87	92	288	0
искромсать	0.8	42	86	56	0
искрошить	0.4	25	80	29	0
искупать	1.8	74	90	134	1
искупаться	3.6	90	92	249	1
искупить	3.2	87	90	212	0
искусать	1.3	54	85	93	0
искусить	0.8	48	87	67	0
искушать	2.5	78	90	168	0
испариться	4.3	94	92	282	1
испарять	0.4	22	77	27	0
испаряться	2.5	88	92	184	1
испачкать	3.3	81	90	221	0
испачкаться	0.6	39	86	52	0
испепелить	0.9	48	87	72	0
испепелять	0.7	43	86	55	0
испечь	3.4	86	92	234	3
испещрить	2.4	77	90	169	0
исписать	6.2	90	91	372	0
испить	1.8	67	89	138	0
исповедать	0.5	18	62	31	0
исповедаться	1.0	47	84	72	0
исповедовать	7.9	95	84	480	1
исповедоваться	2.7	68	78	161	1
испоганить	0.5	31	82	47	0
исполнить	39.1	99	94	1684	3
исполниться	20.1	100	94	1156	2
исполнять	44.5	100	94	1934	5
исполняться	11.7	95	91	754	3
исполосовать	0.8	42	85	60	0
использовать	249.6	100	90	8730	7
использоваться	79.0	99	86	3681	1
испортить	22.2	100	95	1136	3
испортиться	5.3	95	93	357	2
исправить	18.5	100	96	1103	4
исправиться	2.9	83	90	200	1
исправлять	6.1	99	95	436	6
исправляться	1.0	60	89	86	1
испражняться	0.5	25	78	36	0
испрашивать	0.9	45	84	64	0
испрашиваться	0.5	13	59	18	0
испробовать	2.3	88	92	165	0
испросить	1.3	47	85	83	0
испугать	9.2	94	93	554	4
испугаться	47.8	98	92	1431	4
испускать	2.1	71	89	144	0
испустить	1.4	58	87	104	0
испытать	36.5	100	96	1577	3
испытывать	76.6	100	96	2885	4
испытываться	1.6	59	87	127	0
иссечь	1.0	44	85	74	0
исследовать	38.6	99	81	1745	5
исследоваться	3.7	59	80	259	0
иссохнуть	0.5	27	81	39	0
исстрадаться	0.8	53	88	72	0
иссушать	0.6	37	83	50	0
иссушить	0.7	40	84	59	0
иссякать	2.5	82	91	189	0
иссякнуть	5.8	94	94	404	0
истаивать	0.5	29	80	38	0
истаять	0.9	42	84	66	0
истекать	6.0	97	94	426	1
истереть	0.5	31	81	34	0
истерзать	1.4	59	88	110	0
истечь	4.7	97	91	354	1
истлевать	0.5	37	84	42	0
истлеть	2.1	67	90	157	0
истолковать	5.4	97	93	340	0
истолковывать	1.0	52	87	79	0
истолковываться	0.4	27	82	36	0
истолочь	0.5	26	76	28	0
истомить	0.4	26	80	36	0
истомиться	0.7	36	84	54	0
истончаться	0.5	34	83	38	0
истончить	0.4	28	82	33	0
истончиться	0.8	41	83	62	0
истопить	0.5	28	81	37	0
истоптать	1.3	60	85	97	0
исторгать	0.7	37	83	49	0
исторгнуть	1.2	47	86	82	0
истосковаться	1.1	56	88	92	0
источать	3.7	82	88	243	0
источить	0.5	31	83	36	0
истощать	0.8	44	85	61	1
истощаться	0.7	43	86	55	0
истощить	2.1	74	89	156	0
истощиться	0.9	46	84	73	0
истратить	5.1	96	94	345	3
истребить	4.4	94	92	268	1
истреблять	2.6	83	91	171	2
истребовать	1.1	27	60	54	0
истрепать	0.4	27	82	37	0
истязать	1.6	65	88	112	0
исхитриться	1.2	56	87	85	0
исходить	69.0	100	93	3335	2
исхудать	1.8	62	87	133	0
исцарапать	1.6	53	86	112	0
исцелить	3.1	64	61	175	1
исцелиться	0.8	30	72	52	0
исцелять	2.1	64	74	137	1
исчезать	41.4	100	96	1756	3
исчезнуть	99.9	100	94	2662	3
исчеркать	0.4	32	84	35	0
исчерпать	11.3	100	95	794	1
исчерпаться	0.6	42	86	51	0
исчерпывать	1.6	64	87	129	1
исчерпываться	3.6	83	90	277	0
исчертить	0.4	25	78	31	0
исчислить	1.5	47	79	82	0
исчислять	1.6	57	82	121	0
исчисляться	3.9	73	87	284	0
ишачить	0.5	27	79	39	0
кадить	0.7	30	75	45	0
казать	1.4	60	87	96	0
казаться	448.2	100	97	7586	5
казнить	11.9	97	93	522	1
казниться	0.6	38	85	48	0
кайфовать	0.6	32	80	39	0
какать	1.1	38	62	51	0
калечить	2.0	83	92	156	0
калить	0.4	21	75	24	0
каменеть	1.2	61	89	97	0
канонизировать	1.6	63	88	110	0
кантоваться	0.5	29	80	36	0
кануть	6.0	93	93	397	0
канючить	1.5	60	89	111	0
капать	8.7	92	91	496	1
капитализировать	0.9	23	47	28	1
капитулировать	2.0	74	90	141	2
капнуть	1.7	61	88	118	0
капризничать	2.9	85	91	217	0
карабкаться	5.6	84	89	352	1
карать	5.2	91	90	289	0
караться	2.1	81	91	147	0
караулить	4.2	67	87	229	0
каркать	2.0	56	87	125	0
каркнуть	0.5	25	78	35	0
картавить	1.0	54	88	77	0
касаться	154.7	100	96	6473	6
кастрировать	1.4	64	87	96	0
катализировать	0.5	19	65	32	0
катапультировать	0.4	22	69	23	0
катапультироваться	1.1	38	77	47	0
катать	6.8	93	90	373	2
кататься	23.1	98	88	932	5
катить	7.6	87	90	405	1
катиться	15.4	97	91	719	2
качать	17.8	98	92	795	2
качаться	14.0	97	91	622	3
качнуть	4.5	64	88	263	0
качнуться	5.2	76	89	290	0
кашлянуть	4.1	59	87	232	0
кашлять	7.6	88	91	427	5
каяться	9.4	93	84	460	1
квакать	0.8	47	86	64	0
квалифицировать	3.1	81	90	239	1
квалифицироваться	1.3	55	87	107	0
квартировать	1.3	54	86	94	1
квасить	0.8	38	84	58	0
квохтать	0.4	22	76	31	0
кивать	26.5	95	91	976	3
кивнуть	88.4	87	88	1093	1
кидать	11.6	96	92	590	1
кидаться	8.7	92	92	467	1
кинуть	18.0	93	91	759	1
кинуться	29.0	93	90	856	0
кипеть	18.9	99	92	916	4
кипятить	3.0	80	85	175	3
кипятиться	1.5	61	89	119	0
киснуть	1.5	58	88	105	0
кичиться	2.0	74	89	144	1
кишеть	3.8	84	92	254	0
кланяться	10.8	91	91	478	1
классифицировать	3.3	75	85	235	1
классифицироваться	0.8	25	74	54	0
класть	35.0	100	94	1410	6
класться	1.7	65	83	107	0
клацать	1.0	44	86	83	0
клацнуть	0.8	31	80	56	0
клевать	6.7	90	91	399	1
клеветать	1.9	64	88	128	1
клеить	3.3	88	91	212	1
клеиться	2.0	74	90	152	0
клеймить	3.0	83	91	199	0
клепать	0.7	41	86	58	0
кликать	2.3	65	88	150	0
кликнуть	1.6	53	85	106	0
клокотать	3.8	79	89	242	0
клонировать	2.1	50	84	103	0
клонить	3.8	82	90	252	1
клониться	3.3	75	90	230	1
клубиться	5.9	82	90	323	0
клюнуть	5.2	86	91	320	1
клянчить	2.0	72	89	145	0
клясть	3.5	84	89	218	0
клясться	17.9	99	92	719	2
княжить	0.6	24	64	25	0
ковать	2.8	87	92	203	0
коваться	0.5	30	81	38	0
коверкать	1.0	50	87	70	0
ковылять	2.8	70	89	201	0
ковырнуть	0.6	35	83	52	0
ковырять	3.9	80	89	257	0
ковыряться	3.1	74	89	208	0
кодировать	2.8	30	66	123	0
кодироваться	0.6	22	73	39	0
козырнуть	1.8	48	82	101	0
козырять	1.2	57	88	80	0
кокетничать	3.2	84	91	210	0
кокнуть	0.5	26	80	36	0
колбасить	0.4	21	73	31	0
колдовать	3.0	80	91	215	0
колебать	1.2	55	86	87	1
колебаться	20.8	98	95	1226	4
колесить	1.8	71	90	135	0
коллекционировать	2.2	74	90	157	1
колобродить	0.4	21	70	27	0
колоситься	0.4	31	84	35	0
колотить	7.0	82	90	362	1
колотиться	4.1	72	88	265	1
колоть	9.2	97	93	518	3
колоться	3.2	80	88	197	0
колошматить	0.5	28	78	38	0
колупать	0.4	15	43	16	0
колыхать	1.2	54	86	90	0
колыхаться	6.1	85	90	351	0
колыхнуться	1.2	42	84	85	0
кольнуть	2.5	63	87	171	0
командировать	3.7	88	92	247	2
командовать	28.8	99	93	989	4
комбинировать	1.6	60	87	124	1
комиссовать	0.9	47	87	64	0
комкать	1.3	52	87	97	0
комментировать	15.5	98	92	1139	1
компенсировать	12.2	99	92	893	1
компенсироваться	3.0	71	90	242	0
комплексовать	1.4	51	75	82	0
комплектовать	1.6	54	86	132	1
комплектоваться	2.1	58	85	165	0
компоновать	0.4	26	79	32	1
компрометировать	2.9	84	89	181	1
конвертировать	1.6	50	69	92	1
конвоировать	0.9	45	85	62	0
конденсировать	0.5	21	72	29	1
кондиционировать	0.5	28	79	34	0
конкретизировать	2.3	62	82	171	0
конкретизироваться	0.5	21	78	40	0
конкурировать	11.6	85	91	851	1
консервировать	1.4	55	73	93	1
консолидировать	2.1	49	86	159	1
консолидироваться	0.8	38	84	66	0
конспектировать	0.7	40	85	54	2
констатировать	16.9	98	94	1110	1
констатироваться	0.4	24	80	34	0
конституировать	0.4	15	64	23	0
конструировать	3.1	68	83	204	1
конструироваться	0.8	25	71	48	0
консультировать	2.5	76	89	181	2
консультироваться	1.7	68	89	133	1
контактировать	1.9	69	86	143	1
контрастировать	1.7	65	89	145	0
контратаковать	1.1	32	70	48	0
контролировать	38.2	100	92	2286	4
контролироваться	4.9	78	90	398	0
контузить	2.2	72	87	139	0
конфисковать	3.8	92	90	241	0
конфликтовать	2.8	74	91	210	1
конфузиться	0.6	29	80	44	0
концентрировать	2.1	70	87	174	2
концентрироваться	3.2	75	91	245	0
концептуализировать	0.5	7	22	8	0
концертировать	0.7	34	79	45	0
кончать	22.6	100	94	1013	5
кончаться	29.5	99	95	1281	4
кончить	29.8	98	93	1026	4
кончиться	82.0	99	94	2166	3
конъюгировать	0.4	6	53	18	0
координировать	5.1	74	88	377	1
координироваться	0.4	25	79	35	0
копать	13.2	98	92	560	3
копаться	8.2	94	92	479	0
копировать	5.0	95	93	364	1
копить	6.0	89	92	389	1
копиться	2.4	79	91	177	0
копнуть	1.1	52	86	80	0
копошиться	5.0	82	90	316	0
коптить	1.9	68	89	129	0
корежить	1.0	53	87	79	0
корениться	1.7	58	86	126	0
корить	3.0	83	91	207	0
кормить	52.0	100	93	1806	5
кормиться	5.2	93	93	323	0
коробить	1.7	72	90	126	1
короновать	1.3	63	87	94	0
коротать	2.7	78	91	195	0
корпеть	1.1	57	89	87	0
корректировать	4.7	86	91	368	1
корректироваться	1.3	53	85	104	0
коррелировать	2.2	33	70	138	0
коррумпировать	1.4	49	85	105	0
корчевать	0.5	27	80	34	0
корчить	2.9	74	89	196	0
корчиться	4.2	78	89	257	0
корячиться	0.9	42	85	67	0
косить	10.6	91	90	519	2
коситься	6.7	86	89	353	0
коснуться	27.8	100	95	1364	4
костерить	0.6	30	78	39	0
котироваться	1.8	68	90	146	0
кочевать	3.3	87	92	239	0
кочевряжиться	0.4	28	80	33	0
коченеть	0.8	43	85	60	0
кощунствовать	0.4	29	83	32	0
красить	10.9	98	90	576	4
краситься	2.2	59	71	104	0
краснеть	12.5	95	92	605	4
красоваться	9.2	94	94	549	1
красть	5.2	87	92	299	3
красться	3.0	64	89	196	0
кредитовать	1.3	39	82	81	1
кремировать	0.5	29	81	38	0
крениться	1.5	56	87	105	0
крепить	3.1	88	91	224	1
крепиться	6.5	98	94	431	1
крепнуть	4.1	92	93	295	2
крепчать	1.1	55	87	80	0
крестить	6.5	91	84	320	0
креститься	8.2	90	87	370	0
кривить	3.5	79	91	254	0
кривиться	2.6	55	86	171	0
кривляться	2.2	58	87	146	0
крикнуть	77.2	95	89	1303	3
кристаллизоваться	0.7	36	79	54	0
критиковать	14.8	98	92	822	3
критиковаться	0.5	31	83	40	0
кричать	147.3	100	91	2642	5
кровоточить	3.0	86	92	212	0
кроить	1.4	67	90	99	0
кромсать	1.2	55	87	93	0
кропать	0.4	27	80	31	0
кропить	0.5	32	82	39	0
крошить	1.8	69	90	141	0
крошиться	1.4	63	87	111	0
круглиться	0.4	18	74	22	0
кружить	10.4	92	91	515	1
кружиться	16.4	95	91	699	2
крутануть	1.7	55	87	118	0
крутануться	0.7	39	85	56	0
крутить	26.8	98	94	1232	0
крутиться	18.4	98	94	907	0
крутнуть	0.6	31	78	43	0
крутнуться	0.4	21	76	32	0
крушить	3.1	88	92	223	0
крыть	5.3	95	94	342	0
крыться	6.7	97	93	476	0
крякать	1.4	50	85	110	0
крякнуть	4.9	63	88	260	0
кряхтеть	5.2	74	88	299	0
кувыркаться	3.2	75	90	210	0
кувыркнуться	0.6	31	79	44	0
кудахтать	0.8	37	83	61	0
кукарекать	0.7	40	84	54	0
куковать	1.1	52	87	86	0
кукситься	0.4	23	78	33	0
культивировать	3.8	78	84	250	1
культивироваться	1.2	56	88	105	0
кумекать	0.7	36	82	49	0
купать	2.3	67	87	147	1
купаться	18.0	99	93	803	3
купировать	0.4	25	80	32	0
купить	192.7	100	94	5092	4
купиться	1.1	60	88	81	0
куражиться	1.2	55	86	89	0
курировать	7.8	85	90	531	0
курить	65.5	99	93	1631	6
куриться	1.5	56	87	111	0
курлыкать	0.4	22	77	28	0
курнуть	0.5	30	79	37	0
куролесить	0.5	34	83	42	0
курсировать	1.6	67	90	138	2
курчавиться	0.4	27	82	35	0
кусать	8.5	94	92	480	3
кусаться	3.4	81	90	216	2
куснуть	0.9	38	82	62	0
кутать	0.8	37	81	54	1
кутаться	2.7	72	89	186	0
кутить	2.3	56	69	97	0
кучковаться	0.6	41	86	53	0
кушать	15.4	95	90	668	2
лавировать	2.0	63	88	156	1
ладить	4.0	87	90	262	0
ладиться	2.2	74	90	167	0
лазать	2.5	75	90	171	1
лазить	5.5	80	89	311	1
лакать	1.1	54	87	86	0
лакировать	1.2	63	90	94	0
лакомиться	1.2	54	88	97	0
лапать	1.2	47	85	87	0
ласкать	7.9	88	90	391	3
ласкаться	0.7	40	85	57	0
ластиться	0.8	40	83	63	0
латать	1.1	58	89	94	0
лаять	7.1	87	89	364	3
лаяться	0.9	39	82	61	0
лгать	11.0	92	91	490	1
лебезить	0.7	39	84	54	0
леветь	0.5	22	65	26	0
легализовать	2.3	64	88	174	0
легализоваться	0.6	35	82	50	0
легировать	0.7	19	69	36	0
легчать	0.4	23	77	30	0
леденеть	0.6	37	83	52	0
леденить	1.4	65	90	113	0
лежать	318.1	100	94	5232	6
лезть	50.0	99	93	1577	4
лелеять	4.5	93	93	318	1
лениться	2.9	93	92	218	2
лепетать	3.5	76	90	229	1
лепить	8.2	94	93	464	2
лепиться	2.0	62	88	138	0
летать	46.6	99	93	1565	3
лететь	82.9	99	94	2146	3
лечить	30.6	100	94	1227	4
лечиться	12.4	99	92	664	3
лечь	63.5	100	94	2020	5
либерализовать	0.4	19	76	36	0
лидировать	7.6	75	90	583	1
лизать	4.5	81	90	269	1
лизировать	0.5	6	50	32	0
лизнуть	3.2	64	86	189	0
ликвидировать	17.4	99	93	1079	3
ликвидироваться	1.0	52	87	83	0
ликовать	8.5	94	89	502	1
лимитировать	1.4	54	86	102	1
линять	1.2	59	88	87	1
липнуть	2.6	75	90	183	0
листать	9.4	92	92	534	0
лить	10.4	97	93	568	5
литься	12.6	97	94	723	1
лихорадить	1.6	70	90	124	0
лицезреть	1.8	71	90	137	0
лицемерить	1.2	54	87	88	0
лицензировать	1.2	36	69	63	0
лишать	14.8	100	96	939	3
лишаться	5.4	96	93	411	3
лишить	50.9	100	97	2317	2
лишиться	18.7	100	95	1208	2
лоббировать	2.7	53	84	200	0
ловить	48.0	99	94	1711	6
ловиться	1.8	76	90	127	0
ловчить	0.9	42	71	55	0
ложить	0.6	32	80	44	0
ложиться	39.5	100	95	1573	7
локализовать	2.9	51	79	182	1
локализоваться	0.7	22	71	45	0
ломануться	0.6	30	80	44	0
ломать	28.2	100	95	1312	6
ломаться	8.8	97	94	556	3
ломить	3.1	74	89	199	1
ломиться	5.3	95	93	371	0
лопатить	0.5	29	79	41	0
лопать	1.1	46	85	84	1
лопаться	5.2	94	92	356	1
лопнуть	15.2	98	93	757	1
лопотать	1.5	54	87	114	0
лосниться	4.6	75	89	258	0
лузгать	0.7	33	80	50	0
лукавить	3.5	89	92	259	0
лупить	6.0	84	90	337	0
лучиться	1.8	61	88	123	0
лыбиться	0.8	38	84	60	0
лысеть	2.2	69	88	149	0
льнуть	1.5	58	87	106	0
льстить	4.5	89	93	299	2
любезничать	0.5	32	83	40	0
любить	503.1	100	95	6888	7
любиться	0.4	22	77	28	0
любоваться	19.6	98	95	946	6
любопытствовать	1.4	57	88	114	1
лютовать	0.9	46	87	66	0
лягать	0.4	29	82	35	0
лягаться	0.5	29	81	38	0
лягнуть	1.0	45	85	78	0
лязгать	1.7	51	86	115	0
лязгнуть	1.5	50	86	112	0
ляпнуть	3.9	76	88	234	0
мазать	5.9	88	83	298	3
мазаться	0.9	44	80	59	1
мазнуть	0.9	42	85	69	0
макать	1.7	62	88	124	0
макнуть	0.5	25	72	37	0
малевать	1.2	58	88	95	0
маневрировать	2.7	78	91	180	1
манипулировать	3.6	83	91	273	1
манить	7.3	92	91	405	1
манкировать	0.5	35	84	41	1
марать	1.2	50	86	90	0
мараться	0.4	23	77	31	0
мариновать	1.8	63	83	100	1
маркировать	1.1	39	79	68	1
маршировать	3.1	84	92	203	1
маскировать	3.2	86	91	230	1
маскироваться	2.5	79	91	184	0
массировать	2.7	80	89	172	1
мастерить	3.0	84	91	213	0
мастурбировать	1.1	21	55	32	0
материализовать	1.3	56	87	104	1
материализоваться	2.4	84	91	174	0
материть	1.4	56	87	104	0
материться	6.4	83	90	341	0
матировать	0.5	11	39	13	0
махать	22.2	96	91	937	5
махнуть	40.2	95	90	1115	3
маять	0.6	38	84	50	0
маяться	6.4	89	91	406	0
маячить	8.2	89	91	455	0
медитировать	1.1	46	85	69	0
медлить	7.2	86	92	404	1
мелеть	0.4	28	82	34	0
мелить	0.5	30	82	37	0
мелочиться	0.8	48	87	72	0
мелькать	20.1	96	93	914	1
мелькнуть	22.1	94	90	787	1
мельтешить	1.6	59	88	128	0
мельчать	0.9	42	86	70	0
менять	74.9	100	97	3382	5
меняться	66.0	100	96	3193	3
мереть	1.2	54	87	84	0
мерещиться	6.4	92	90	342	0
мерзнуть	6.6	92	93	401	3	1
мерить	5.7	93	89	329	5
мериться	0.5	36	85	42	0
меркнуть	3.0	83	91	209	0
мертветь	0.4	29	80	36	0
мерцать	12.8	98	92	631	0
мерять	2.1	63	83	137	0
меряться	0.5	33	84	38	0
месить	1.9	67	88	131	0
мести	4.8	87	90	284	1
метать	5.6	94	92	351	2
метаться	20.0	95	92	838	0
метелить	0.4	26	82	31	0
метить	4.6	90	88	295	0
метнуть	3.4	70	87	208	1
метнуться	8.1	72	88	370	0
механизировать	0.5	33	83	42	1
мечтать	72.4	100	96	2582	6
мечтаться	1.6	72	90	130	0
мешать	100.4	100	97	3455	6
мешаться	2.4	70	89	175	1
мешкать	2.1	65	87	139	0
мигать	7.3	85	90	424	2
мигнуть	2.0	57	87	134	1
мигрировать	1.3	49	80	86	1
миловать	2.4	81	91	179	1
минерализовать	0.4	15	62	23	0
минимизировать	2.7	50	86	223	0
минировать	0.5	35	82	41	0
миновать	28.0	100	94	1191	0
минуть	6.2	96	88	348	0
мирить	0.8	46	84	63	2
мириться	7.1	99	95	489	4
мистифицировать	0.4	26	79	29	0
митинговать	1.5	60	86	100	0
мифологизировать	0.5	28	81	35	0
млеть	3.0	74	89	211	0
мнить	2.7	89	93	191	0
мниться	1.5	54	83	88	0
множить	1.1	59	89	88	1
множиться	2.2	80	92	173	0
мобилизовать	6.1	94	93	404	2
мобилизоваться	0.5	33	83	45	0
моделировать	2.8	63	82	185	0
моделироваться	0.8	29	79	66	0
модернизировать	3.7	69	90	291	1
модернизироваться	0.7	36	84	59	0
модифицировать	2.8	42	64	132	1
модифицироваться	0.5	27	75	35	0
модулировать	0.5	23	75	35	0
мозолить	1.2	51	86	95	0
мокнуть	2.3	72	90	163	0
молвить	4.3	73	79	176	0
молить	9.2	95	87	515	0
молиться	38.0	99	79	1130	1
молодеть	1.3	64	89	108	1
молодить	0.5	28	72	34	0
молодиться	0.8	40	86	60	0
молотить	3.1	74	88	196	2
молоть	3.7	76	89	248	1
молчать	144.5	100	91	2343	4
монашествовать	0.6	26	75	40	0
монополизировать	1.2	47	86	97	1
монтировать	2.8	74	89	191	1
монтироваться	1.4	57	89	119	0
моргать	5.2	72	89	287	0
моргнуть	4.8	86	91	317	0
мордовать	0.4	28	81	30	0
морить	1.9	77	91	139	0
морозить	0.8	45	86	59	1
моросить	2.8	74	90	195	0
морочить	4.7	88	91	304	0
морщить	2.7	65	87	187	0
морщиться	9.8	88	89	470	0
мостить	1.3	63	88	101	0
мотать	8.1	90	89	421	0
мотаться	6.8	84	92	397	0
мотивировать	5.0	86	92	365	1
мотивироваться	0.5	33	83	47	0
мотнуть	4.4	57	87	214	0
мочить	3.9	86	92	255	1
мочиться	2.2	64	89	138	1
мочь	2912.3	100	98	25413	5
мрачнеть	1.8	64	88	135	1
мстить	7.9	95	93	437	2
мудрить	1.4	61	88	96	0
мудрствовать	1.2	60	88	99	0
мужать	0.9	44	84	67	0
мужаться	0.7	37	83	51	0
музицировать	1.1	47	84	78	0
мульчировать	0.4	19	71	25	0
мурлыкать	2.9	72	89	199	0
мурчать	0.6	4	10	5	0
мурыжить	0.6	35	84	45	0
мусолить	1.4	56	88	99	0
муссировать	0.5	30	81	35	0
муссироваться	0.6	33	81	49	0
мутировать	0.6	40	86	52	0
мутить	3.1	79	91	232	1
мутиться	0.5	31	82	45	1
мутнеть	0.6	39	85	50	0
мухлевать	0.4	24	78	27	0
мучать	2.7	78	89	178	0
мучаться	10.3	95	92	557	0
мучить	26.2	98	94	1079	2
мучиться	15.3	96	94	764	1
мчать	1.5	63	88	109	0
мчаться	20.2	96	92	809	3
мыкаться	1.4	53	87	97	0
мылить	0.5	32	84	42	0
мыслить	23.4	99	90	1041	0
мыслиться	2.6	71	82	157	0
мытарить	0.4	23	77	29	0
мыть	28.8	98	93	1169	5
мыться	8.3	94	92	440	5
мычать	5.9	78	90	352	0
мямлить	2.0	64	89	152	0
мять	4.7	82	90	307	1
мяться	2.7	76	90	192	0
мяукать	1.8	66	87	122	1
мяукнуть	0.6	29	80	47	0
набегать	4.1	85	88	262	0
набегаться	1.0	46	86	77	0
набедокурить	0.5	32	83	41	0
набежать	4.0	81	90	279	0
набивать	4.4	81	91	305	1
набиваться	2.2	75	91	172	1
набирать	27.3	100	96	1442	4
набираться	5.8	96	94	422	0
набить	22.6	99	94	1006	1
набиться	2.9	78	90	200	1
наблюдать	95.5	100	96	3236	5
наблюдаться	43.2	100	83	2108	1
наболеть	1.1	50	83	85	0
наболтать	0.7	34	83	52	0
набрасывать	2.5	81	92	195	0
набрасываться	2.9	81	92	217	0
набрать	43.7	100	95	1845	4
набраться	13.5	99	95	799	0
набрести	2.4	75	90	178	0
набросать	3.7	88	92	261	0
набросить	4.5	78	90	285	0
наброситься	6.8	86	91	390	0
набрякнуть	2.2	47	84	123	0
набухать	2.8	76	90	190	0
набухнуть	4.0	78	89	227	0
набычиться	1.2	43	83	88	0
наваливать	0.5	32	83	40	0
наваливаться	3.0	70	89	198	0
навалить	3.0	68	89	215	0
навалиться	10.1	91	91	511	0
наварить	1.3	52	85	90	0
навевать	2.2	83	91	171	0
наведаться	2.1	65	87	143	0
наведываться	3.6	85	91	242	0
навезти	0.5	31	83	39	0
навернуть	0.7	36	82	52	0
навернуться	1.8	63	86	127	0
наверстать	2.0	76	91	149	0
наверстывать	1.3	69	90	104	0
навесить	2.8	79	86	181	0
навести	18.1	100	96	1048	1
навестить	12.4	91	93	582	3
навешать	0.9	50	87	72	0
навешивать	1.1	61	84	78	0
навещать	10.1	94	93	512	5
навеять	2.6	86	92	195	0
навидаться	1.0	44	85	76	0
нависать	5.9	91	91	351	0
нависнуть	8.0	94	92	445	0
навлечь	1.5	69	90	118	0
наводить	14.9	100	95	937	1
наводиться	0.6	37	84	51	0
наводнить	1.3	62	89	100	0
наводнять	0.4	32	84	37	0
наворачивать	0.7	37	85	58	0
наворачиваться	0.7	49	88	61	0
наворовать	0.9	50	87	75	0
наворотить	2.2	82	92	179	0
навострить	1.1	49	86	87	0
навостриться	0.6	30	81	43	0
наврать	3.0	72	89	185	0
навредить	3.4	86	91	248	1
навьючить	0.6	37	84	50	0
навязать	8.2	100	94	560	2
навязаться	0.5	31	82	38	1
навязывать	8.8	99	94	605	2
навязываться	2.1	80	92	167	1
нагадать	0.8	40	84	56	1
нагадить	1.2	53	86	81	0
нагибаться	2.3	71	88	162	3
наглеть	0.9	54	88	71	0
наглотаться	1.3	53	87	96	0
наглядеться	1.7	59	88	123	0
нагнать	3.8	79	90	253	0
нагнетать	1.8	70	90	145	0
нагнетаться	0.6	36	84	47	0
нагнуть	1.3	42	85	87	1
нагнуться	10.2	82	89	471	2
наговаривать	1.6	62	88	104	0
наговорить	6.5	90	92	384	0
наговориться	1.5	65	90	113	0
нагонять	3.3	78	89	234	0
нагореть	0.4	23	79	29	0
нагородить	0.6	39	85	54	0
наготовить	0.7	35	84	52	0
награбить	2.3	72	91	166	0
наградить	19.9	99	93	1078	4
награждать	3.9	94	92	280	5
награждаться	1.4	53	85	90	0
нагревать	2.0	62	85	126	1
нагреваться	2.0	77	91	154	0
нагрести	0.4	25	79	30	0
нагреть	7.4	94	90	420	2
нагреться	1.5	62	88	110	1
нагромоздить	0.6	39	85	51	0
нагрубить	0.7	35	80	46	0
нагружать	1.5	72	89	119	2
нагрузить	4.7	97	93	313	1
нагрузиться	0.5	28	81	37	0
нагрянуть	5.1	86	91	303	0
нагулять	0.7	32	82	60	0
нагуляться	0.6	35	81	52	0
надавать	1.6	66	89	124	0
надавить	4.2	79	89	251	0
надавливать	0.9	49	87	73	0
надвигаться	10.3	96	94	614	0
надвинуть	3.3	64	87	194	0
надвинуться	1.8	60	87	133	0
наддать	0.5	31	83	40	0
надевать	22.5	99	95	1102	5
надеваться	1.2	63	88	92	0
наделать	8.5	95	93	530	0
наделить	12.3	99	94	773	0
наделять	3.0	85	92	240	0
наделяться	1.4	46	82	98	0
надергать	0.5	30	82	42	0
надеть	52.1	100	94	1706	4
надеяться	137.1	100	96	4734	6
надзирать	1.4	63	88	104	0
надиктовать	0.5	28	80	39	0
надкусить	1.1	49	86	92	0
надлежать	10.0	97	93	511	1
надломить	1.0	53	88	84	0
надломиться	1.1	54	88	82	0
надоедать	4.9	92	92	341	5
надоесть	40.9	98	93	1544	4
надоить	0.4	25	78	31	0
надорвать	2.1	67	89	153	0
надорваться	2.0	68	89	143	0
надоумить	1.2	53	87	94	1
надписать	1.7	63	87	105	0
надписывать	0.5	34	84	42	0
надраить	1.0	45	86	77	0
надрать	0.6	35	84	47	0
надраться	1.1	41	84	73	0
надрезать	1.0	50	86	67	0
надругаться	0.9	53	87	76	0
надрывать	1.1	52	88	84	0
надрываться	4.2	79	91	258	0
надсаживаться	0.4	25	80	32	0
надстроить	0.5	32	82	37	0
надувать	3.0	84	92	213	1
надуваться	1.5	64	88	105	1
надумать	6.0	85	91	358	1
надуть	5.1	89	92	355	1
надуться	2.7	64	88	174	1
надушить	1.2	56	87	86	0
надыбать	0.6	28	77	35	0
надышаться	1.4	63	89	111	0
наедаться	0.7	43	85	59	0
наездиться	0.4	25	77	27	0
наезжать	5.1	85	92	311	0
наесться	4.3	81	89	297	0
наехать	5.0	88	91	298	0
нажаловаться	0.7	43	86	58	0
нажарить	0.6	28	80	43	0
нажать	23.6	98	91	899	1
наживать	1.4	65	89	116	0
наживаться	1.2	58	88	103	0
нажимать	11.0	96	92	580	1
нажить	5.5	97	94	385	0
нажиться	0.9	52	87	77	0
нажраться	2.7	59	86	157	1
названивать	1.9	62	85	127	0
назвать	205.1	100	96	7109	4
назваться	4.9	88	92	310	2
назначать	14.2	100	92	880	5
