lemma	ipm	r	d	doc	dicts
бросить	166.5	100	93	3369	4
броситься	59.5	99	92	1531	3
брызгать	4.7	79	90	316	1
брызгаться	0.7	38	83	57	0
брызнуть	4.9	68	89	286	0
брыкаться	1.2	52	87	98	0
брюзжать	0.9	46	86	68	0
брякать	1.2	45	82	75	0
брякнуть	4.3	66	88	262	0
брякнуться	0.7	37	84	57	0
бряцать	0.9	44	84	65	0
бубнить	4.5	77	89	273	0
бугриться	0.5	27	79	34	0
будить	15.1	96	92	719	6
будоражить	4.4	90	93	322	0
бузить	0.6	33	83	46	0
буйствовать	1.0	53	87	83	0
буксировать	0.9	37	82	50	1
буксовать	1.7	72	90	124	1
бултыхаться	0.5	31	83	42	0
булькать	3.8	74	88	244	0
булькнуть	0.8	37	83	65	0
бунтовать	3.3	85	92	223	1
буравить	0.9	40	83	59	1
бурить	1.1	49	83	65	0
буркнуть	13.0	78	88	420	0
бурлить	5.7	92	92	360	0
бурчать	2.4	69	89	158	1
бухать	2.4	58	86	160	0
бухнуть	2.1	53	84	132	0
бухнуться	1.2	45	84	82	0
бушевать	9.2	97	93	514	1
буянить	0.8	49	87	68	0
бывать	297.3	100	96	6512	4
бысть	0.5	14	59	23	0
бытовать	4.9	93	92	371	0
быть	12160.7	100	98	34184	5
важничать	0.6	29	80	45	0
вакцинировать	2.7	17	61	44	0
валандаться	0.4	27	81	34	0
валить	15.0	95	92	698	1
валиться	7.6	91	91	437	1
вальсировать	0.6	37	84	47	0
валять	8.1	87	90	415	0
валяться	30.5	97	92	1113	0
варить	29.3	98	89	952	6
вариться	3.7	85	92	257	1
варьировать	4.5	67	78	295	1
варьироваться	3.0	61	87	239	0
ваять	0.9	49	87	69	0
вбегать	2.8	73	89	176	0
вбежать	6.8	81	90	362	1
вбивать	1.7	65	89	136	1
вбиваться	0.4	22	78	30	0
вбирать	2.9	86	92	211	0
вбить	5.2	89	92	329	1
вбросить	1.0	53	87	73	0
вбухать	0.5	35	84	44	0
вваливаться	1.2	62	89	94	1
ввалиться	5.6	72	89	319	1
ввезти	2.0	70	89	133	2
ввергать	0.9	56	89	84	0
ввергнуть	1.9	68	90	140	0
вверить	4.5	94	92	320	0
ввернуть	1.4	55	87	100	0
вверять	0.4	32	84	37	0
ввести	68.6	100	94	3428	2
ввинтить	0.8	40	85	63	1
ввинтиться	0.5	25	78	36	0
ввинчиваться	0.9	47	85	65	0
вводить	27.1	100	91	1554	3
вводиться	9.8	80	89	697	0
ввозить	3.0	69	89	204	2
ввозиться	0.6	33	82	53	0
ввязаться	2.7	78	90	188	1
ввязываться	2.2	81	91	159	1
вглядеться	5.8	88	89	368	0
вглядываться	17.7	96	90	754	0
вгонять	1.2	60	89	92	0
вгрызаться	1.5	64	87	110	0
вдаваться	5.3	99	94	376	1
вдавить	3.1	72	87	185	1
вдавиться	0.5	27	81	36	0
вдавливать	1.0	51	85	71	1
вдавливаться	0.6	37	85	52	0
вдалбливать	1.0	53	88	77	0
вдарить	1.2	44	83	75	0
вдвинуть	0.4	26	82	35	0
вделать	1.1	49	87	83	0
вдеть	1.1	55	87	79	1
вдовствовать	0.4	16	65	19	0
вдолбить	0.5	31	83	37	0
вдохновить	6.0	99	93	439	3
вдохновиться	0.9	54	89	75	0
вдохновлять	5.9	98	92	406	2
вдохновляться	1.1	56	88	92	0
вдохнуть	7.0	94	93	429	1
вдуматься	5.6	93	89	363	1
вдумываться	1.5	59	81	109	1
вдыхать	7.0	92	91	439	1
ведать	18.6	97	94	806	1
везти	47.0	100	95	1702	5
велеть	49.8	100	92	1303	4
величать	3.6	88	92	246	0
вентилировать	0.6	32	79	45	1
венчать	4.6	91	90	292	0
венчаться	3.0	68	80	151	0
вербовать	2.4	75	89	154	1
верещать	2.2	62	87	149	0
верить	197.1	100	96	4336	6
вериться	9.6	95	94	602	0
верифицировать	0.5	14	67	31	0
вернуть	68.5	100	96	2699	5
вернуться	311.2	100	96	5844	5
веровать	9.3	95	82	454	0
верстать	0.4	25	80	29	0
вертеть	11.7	96	91	592	1
вертеться	15.2	98	92	695	2
верховодить	1.1	52	87	78	0
вершить	2.7	84	92	204	0
вершиться	0.9	47	84	60	0
веселеть	0.7	39	83	51	0
веселить	3.4	86	92	242	1
веселиться	11.0	97	94	620	1
весить	7.8	98	93	485	3
вести	280.3	100	98	7897	5
вестись	43.1	100	93	2581	0
весть	5.3	92	92	347	0
ветвиться	1.3	54	83	74	0
ветшать	0.9	50	87	76	0
вечереть	1.9	60	87	135	1
вешать	12.0	98	93	701	7
вешаться	2.2	75	89	157	1
вещать	6.0	94	93	384	0
веять	6.8	95	94	453	0
вжать	0.9	40	83	56	0
вжаться	1.8	56	88	128	0
вживаться	1.3	64	88	96	1
вживить	0.4	29	81	34	0
вжимать	0.5	29	81	40	0
вжиматься	0.9	39	81	64	0
вжиться	0.8	46	87	68	1
взаимодействовать	10.5	78	84	612	0
взбадривать	0.5	33	83	36	0
взбаламутить	0.8	47	85	66	1
взбалтывать	0.4	26	81	34	0
взбегать	1.2	48	86	86	1
взбежать	2.0	47	86	143	1
взбелениться	0.6	38	84	51	0
взбесить	2.8	79	91	202	0
взбеситься	3.2	78	90	206	1
взбивать	1.6	58	86	104	1
взбираться	4.9	90	91	313	1
взбить	4.2	84	90	226	1
взблескивать	0.5	26	80	34	0
взбодрить	1.4	62	89	110	0
взбодриться	1.1	55	86	89	0
взболтать	0.5	29	82	37	0
взбрести	2.4	72	89	159	0
взбрыкивать	0.5	33	84	42	0
взбрыкнуть	0.7	35	83	53	0
взбудоражить	2.9	80	92	214	0
взбунтоваться	2.7	84	92	210	0
взбухнуть	0.4	21	77	24	0
взваливать	1.3	61	88	94	1
взвалить	4.0	83	92	279	1
взвесить	9.4	99	95	624	1
взвести	1.7	53	86	105	0
взвешивать	4.3	95	94	297	3
взвешиваться	0.4	24	78	30	0
взвиваться	1.0	56	88	80	0
взвизгивать	1.5	51	86	113	0
взвизгнуть	6.5	68	87	316	0
взвинтить	2.5	79	91	173	0
взвинчивать	0.5	36	84	46	0
взвиться	5.4	80	89	309	0
взвихрить	0.4	21	76	26	0
взводить	0.4	22	78	33	0
взволновать	13.0	96	94	640	4
взволноваться	1.9	65	86	123	1
взвывать	0.4	21	77	29	0
взвыть	5.6	74	87	278	0
взглядывать	3.3	62	86	165	0
взглянуть	72.4	100	92	1741	3
взгромоздить	0.7	40	85	52	0
взгромоздиться	1.5	59	87	119	0
взгрустнуть	0.4	27	82	30	0
вздергивать	0.5	33	83	43	0
вздернуть	2.7	59	88	175	0
вздернуться	0.4	20	73	27	0
вздеть	0.4	18	72	22	0
вздохнуть	89.7	97	89	1442	4
вздрагивать	15.1	89	90	654	2
вздремнуть	1.5	55	87	111	0
вздрогнуть	24.4	85	89	742	2
вздувать	0.4	24	80	31	0
вздуваться	1.0	49	87	74	0
вздумать	9.3	96	92	489	1
вздуматься	2.8	85	91	200	0
вздуть	1.1	40	75	62	0
вздуться	2.4	61	87	151	0
вздыбить	1.6	59	87	112	0
вздыбиться	1.2	50	87	92	0
вздымать	1.9	59	88	136	0
вздыматься	3.8	80	89	228	0
вздыхать	21.2	94	91	873	3
взимать	2.3	65	86	166	0
взиматься	2.7	55	77	182	0
взирать	6.7	95	91	419	0
взламывать	1.2	60	88	92	0
взлелеять	0.6	35	84	43	1
взлетать	9.9	93	92	505	2
взлететь	15.0	97	92	696	1
взломать	3.0	86	92	219	0
взлохматить	1.4	45	85	105	1
